#T-T0 Mag Mag_error  Instrument Filter Note
#(days) (mag) (mag)  () () ()
23.0096 17.935 0.041  GROND r'  AB  mag 
25.0149 18.042 0.041  GROND r'  AB  mag 
27.0138 18.130 0.042  GROND r'  AB  mag 
0.0145 18.706 0.052  GROND i'  AB  mag 
1.0404 18.371 0.043  GROND i'  AB  mag 
2.0066 18.816 0.044  GROND i'  AB  mag 
3.0189 18.993 0.043  GROND i'  AB  mag 
4.0154 18.965 0.043  GROND i'  AB  mag 
5.0180 18.956 0.043  GROND i'  AB  mag 
6.0244 18.890 0.043  GROND i'  AB  mag 
7.0078   — —    GROND i'  AB  mag 
8.0095 18.685 0.042  GROND i'  AB  mag 
8.9806 18.611 0.042  GROND i'  AB  mag 
10.9902 18.441 0.043  GROND i'  AB  mag 
12.0265 18.375 0.041  GROND i'  AB  mag 
14.0005 18.280 0.045  GROND i'  AB  mag 
15.0141 18.239 0.041  GROND i'  AB  mag 
16.0146 18.209 0.041  GROND i'  AB  mag 
16.9808 18.162 0.041  GROND i'  AB  mag 
17.9892 18.184 0.043  GROND i'  AB  mag 
19.0471 18.154 0.041  GROND i'  AB  mag 
20.0100 18.160 0.041  GROND i'  AB  mag 
21.0200 18.166 0.041  GROND i'  AB  mag 
23.0096 18.193 0.041  GROND i'  AB  mag 
25.0149 18.237 0.041  GROND i'  AB  mag 
27.0138 18.325 0.042  GROND i'  AB  mag 
0.0145 18.511 0.056  GROND z'  AB  mag 
1.0404 18.246 0.042  GROND z'  AB  mag 
2.0066 18.480 0.044  GROND z'  AB  mag 
3.0189 18.539 0.043  GROND z'  AB  mag 
4.0154 18.461 0.043  GROND z'  AB  mag 
5.0180 18.319 0.043  GROND z'  AB  mag 
6.0244 18.253 0.042  GROND z'  AB  mag 
7.0078 18.048 0.042  GROND z'  AB  mag 
8.0095 18.040 0.043  GROND z'  AB  mag 
8.9806 17.956 0.041  GROND z'  AB  mag 
10.9902 17.868 0.043  GROND z'  AB  mag 
12.0265 17.792 0.041  GROND z'  AB  mag 
14.0005 17.695 0.040  GROND z'  AB  mag 
15.0141 17.721 0.041  GROND z'  AB  mag 
16.0146 17.719 0.041  GROND z'  AB  mag 
16.9808 17.707 0.041  GROND z'  AB  mag 
17.9892 17.758 0.042  GROND z'  AB  mag 
19.0471 17.734 0.041  GROND z'  AB  mag 
20.0100 17.773 0.041  GROND z'  AB  mag 
21.0200 17.801 0.041  GROND z'  AB  mag 
23.0096 17.844 0.041  GROND z'  AB  mag 
25.0149 17.924 0.041  GROND z'  AB  mag 
27.0138 17.981 0.042  GROND z'  AB  mag 
0.0145 18.261 0.106  GROND J  AB  mag 
1.0404 18.061 0.057  GROND J  AB  mag 
2.0066 18.340 0.062  GROND J  AB  mag 
3.0189 18.555 0.064  GROND J  AB  mag 
4.0154 18.456 0.063  GROND J  AB  mag 
5.0180  — —   GROND J  AB  mag 
6.0244 18.323 0.060  GROND J  AB  mag 
7.0078 18.251 0.067  GROND J  AB  mag 
8.0095 18.184 0.080  GROND J  AB  mag 
8.9806 18.117 0.069  GROND J  AB  mag 
10.9902 18.007 0.073  GROND J  AB  mag 
12.0265 17.836 0.056  GROND J  AB  mag 
14.0005  — —   GROND J  AB  mag 
15.0141 17.796 0.055  GROND J  AB  mag 
16.0146 17.792 0.058  GROND J  AB  mag 
16.9808 17.804 0.055  GROND J  AB  mag 
17.9892 17.799 0.067  GROND J  AB  mag 
19.0471 17.760 0.055  GROND J  AB  mag 
